[0.055s] Invoking command in '/root/ros2_ws/build/mg400_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/ros2_ws/install/p9n_bringup:/root/ros2_ws/install/mg400_bringup:/root/ros2_ws/install/integration_package:/opt/ros/humble /usr/bin/cmake --build /root/ros2_ws/build/mg400_msgs -- -j4 -l4
[0.373s] [  0%] Built target mg400_msgs__cpp
[0.394s] [  0%] Built target ament_cmake_python_symlink_mg400_msgs
[0.533s] [ 12%] Built target mg400_msgs__rosidl_generator_c
[0.546s] [ 24%] Built target mg400_msgs__rosidl_typesupport_cpp
[0.555s] [ 43%] Built target mg400_msgs__rosidl_typesupport_introspection_cpp
[0.557s] [ 49%] Built target mg400_msgs__rosidl_typesupport_fastrtps_cpp
[0.781s] [ 62%] Built target mg400_msgs__rosidl_typesupport_c
[0.781s] [ 75%] Built target mg400_msgs__rosidl_typesupport_introspection_c
[0.798s] [ 88%] Built target mg400_msgs__rosidl_typesupport_fastrtps_c
[0.992s] [ 88%] Built target mg400_msgs
[1.005s] running egg_info
[1.007s] writing mg400_msgs.egg-info/PKG-INFO
[1.008s] writing dependency_links to mg400_msgs.egg-info/dependency_links.txt
[1.008s] writing top-level names to mg400_msgs.egg-info/top_level.txt
[1.076s] reading manifest file 'mg400_msgs.egg-info/SOURCES.txt'
[1.077s] writing manifest file 'mg400_msgs.egg-info/SOURCES.txt'
[1.100s] [ 88%] Built target mg400_msgs__py
[1.182s] [ 88%] Built target ament_cmake_python_build_mg400_msgs_egg
[1.385s] [100%] Built target mg400_msgs__rosidl_generator_py
[1.498s] [100%] Built target mg400_msgs__rosidl_typesupport_introspection_c__pyext
[1.509s] [100%] Built target mg400_msgs__rosidl_typesupport_fastrtps_c__pyext
[1.510s] [100%] Built target mg400_msgs__rosidl_typesupport_c__pyext
[1.554s] Invoked command in '/root/ros2_ws/build/mg400_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/ros2_ws/install/p9n_bringup:/root/ros2_ws/install/mg400_bringup:/root/ros2_ws/install/integration_package:/opt/ros/humble /usr/bin/cmake --build /root/ros2_ws/build/mg400_msgs -- -j4 -l4
[1.558s] Invoking command in '/root/ros2_ws/build/mg400_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/ros2_ws/install/p9n_bringup:/root/ros2_ws/install/mg400_bringup:/root/ros2_ws/install/integration_package:/opt/ros/humble /usr/bin/cmake --install /root/ros2_ws/build/mg400_msgs
[1.583s] -- Install configuration: ""
[1.584s] -- Execute custom install script
[1.584s] -- Up-to-date symlink: /root/ros2_ws/install/mg400_msgs/share/ament_index/resource_index/rosidl_interfaces/mg400_msgs
[1.592s] -- Up-to-date symlink: /root/ros2_ws/install/mg400_msgs/include/mg400_msgs/mg400_msgs/action/detail/mov_j__functions.h
[1.592s] -- Up-to-date symlink: /root/ros2_ws/install/mg400_msgs/include/mg400_msgs/mg400_msgs/action/detail/mov_j__struct.h
[1.592s] -- Up-to-date symlink: /root/ros2_ws/install/mg400_msgs/include/mg400_msgs/mg400_msgs/action/detail/mov_j__type_support.h
[1.592s] -- Up-to-date symlink: /root/ros2_ws/install/mg400_msgs/include/mg400_msgs/mg400_msgs/action/detail/mov_jio__functions.h
[1.594s] -- Up-to-date symlink: /root/ros2_ws/install/mg400_msgs/include/mg400_msgs/mg400_msgs/action/detail/mov_jio__struct.h
